ecg_id,mean_rr_interval_I,sd_rr_interval_I,mean_r_peak_I,sd_r_peak_I,mean_pp_interval_I,sd_pp_interval_I,mean_p_peak_I,sd_p_peak_I,mean_tt_interval_I,sd_tt_interval_I,mean_t_peak_I,sd_t_peak_I,mean_qq_interval_I,sd_qq_interval_I,mean_q_peak_I,sd_q_peak_I,mean_ss_interval_I,sd_ss_interval_I,mean_s_peak_I,sd_s_peak_I,qrs_mean_I,qrs_std_I,RMSSD_I,R_HR_STD_I,R_HR_median_I,R_HR_min_I,R_HR_max_I,mean_heartrate_r_I
011420_20220921,0.7813396666215776,-0.3616080857661838,2.016847530480692,0.3577094040432709,0.754465712107204,-0.3906518948727377,0.8342978599016759,-0.3420558852895344,0.6503176958296221,-0.2666494578619439,0.0296205200837453,-0.1388595502989586,0.7496449642666213,-0.2469560654150994,-0.9885681773147472,-0.2874777676226466,0.7794618633580077,-0.3849371360717236,-0.486493088325,0.3071208479823045,-0.3289452970822502,-0.2492220433025657,-0.6028298964268118,-0.3409907495730254,-0.6816889881859086,-0.6459114725375514,-0.6259672088528901,-0.7359941519798867
011436_20220921,0.5182795140779933,1.5021622879582237,0.3445384704800517,0.9228156337211144,0.6389369005336704,0.8452769806465822,1.0752040995144092,3.35101497454688,0.4784009838776023,0.6243009047221174,1.128053309061713,2.9153158665285392,0.4881214950896734,0.7775080462569853,-0.6589781335559599,-0.1354342353104663,0.5074585966827624,1.0809429121152674,0.3768506860932894,-0.2267190580565812,-0.1696675988087981,-0.1905825722911934,-0.4164998985269932,0.4274881779532454,-0.6615499753876439,-1.0407343131874758,-0.0996265326314206,-0.487470189152237
011444_20220921,0.5487559951653607,-0.2695020667381411,-0.9563579850785326,-0.6610763169369935,0.51409124931711,-0.3081657659350634,-0.5498949726466883,-0.7110975947782285,0.4371978049800121,-0.2191262871297837,0.3969797304423525,-0.6555352651801132,0.4810532932200269,-0.2190601579610954,0.811404698685087,-0.7066406899400218,0.520956886133874,-0.2670880442771707,-0.433556366907263,-0.7181981883007399,-0.4882229953557025,-0.3902849160442449,-0.5041100032073986,-0.2892682607364893,-0.5584430535761739,-0.431983012779558,-0.5004754208100745,-0.5825609316753894
011446_20220921,0.0500645230568235,0.6717222733827118,-0.1484273499612221,0.479746812457734,0.1529705447533887,-0.2947385955527235,1.1863264877650292,3.0673364228041624,0.0308492130934202,0.0793778245480591,0.2594718819345846,1.8688234190310544,0.1335333679623685,-0.3378404210727053,0.6473469192387145,-0.1728511140335518,-0.0786558081630268,1.1597874029829045,0.6738438233792637,-0.1448499350906346,0.6324098388934195,1.8372485335065936,-0.2063863321564072,0.3682639745802403,-0.3164298881193101,-0.073343670838417,0.4937326768977517,-0.175097137532957
011447_20220921,1.8885181440191927,0.0943680806974817,-0.6486463458427784,-0.6464780721291006,1.9209340354141669,0.0298090617465166,0.0523930926200603,-0.06752284764938,1.6850655087356368,-0.0544515098309716,-0.1676076650068581,-0.3034437253204436,1.85480881374218,0.0297708284208228,0.48947209663841,-0.3424966725377341,1.9112806995984568,-0.028600403106324,-2.3894393377204324,-0.4200768538153989,-0.1419360332827378,-0.3240397173006591,-0.9577629218921112,-0.2599039152978251,-1.3568539147145713,-1.498684960630848,-0.9248870890666778,-1.340716846167061
011467_20220922,1.0155273633981832,1.4639486014245446,-0.8211257034611689,-0.4516677064347565,1.3227929303318424,0.0421196169598438,-1.5541753387710833,-0.1500020896415883,0.804119217059424,0.7673338571582576,0.9871424307466032,-0.3988047008656336,0.8468327399742706,1.2739764676254646,0.8023940272179576,-0.2373094380117096,0.9274336779069954,1.3230159849795382,-0.9282171319116684,-0.7901012749563839,0.2512811523041254,0.1692707981096371,-0.6142059643790193,0.5085727070800612,-1.1469751695117545,-0.9931353382463244,0.1890909260671914,-0.8033121056994454
011480_20220922,0.1135839257441753,-0.434231439463484,0.9285826265560676,-0.6027815022712578,0.0658477420470407,-0.4406389905252429,0.7226989067991932,-0.603039672798313,-0.0136218041305321,-0.0956219059268074,-0.7448082260755874,0.0847767378974973,0.0707049068988377,-0.3623544953097182,-0.7678513884889427,-0.3704585474965977,0.1020005437361383,-0.4313633061741217,0.0920357432046947,0.0093821371766819,-0.3863989449945494,-0.4069342296100119,-0.2970463585077226,-0.3360216182247669,-0.2219433955933327,-0.047032256082695,-0.3933951841253893,-0.2727298106989982
011494_20220922,0.7348229323303322,0.3152547074389698,-1.0973043067642358,0.4734167507369141,0.7488756083213878,0.2090182983977295,0.5944925708886609,-0.0291199083920979,0.6020105205703771,0.1322347883990597,-0.1354478550568634,-0.4529269795794198,0.7567131661362693,0.2745426285331752,1.2226613461835094,0.2572387507047075,0.8044209646072349,0.1127950229005843,-0.1154619045258032,-0.1739985033600789,0.5527707337745869,-0.0901593740662489,-0.5698663398681223,-0.0777150322515838,-0.6916997231469133,-0.8248604810854732,-0.423982131423363,-0.691574762089648
011497_20220922,2.77583057928652,0.0113498777255981,-0.5378045500726777,-0.8169303764935452,2.8948543394319106,-0.0695635266369901,0.1314242402274049,-0.6050904624850858,2.417589019284441,-0.0738338759489155,-0.5455786034576637,-0.4482140172409368,2.732275588702676,-0.0648220538386467,0.3117057197137652,0.4637325431465854,2.766681734248828,0.0435397243822118,1.1548184522586231,-0.6806291233649218,0.8664506951210063,-0.1304265544266662,-1.161499747879828,-0.3323384394002019,-1.728370397913068,-2.0287346579119188,-1.1810260428668378,-1.7288176435392022
011498_20220922,-0.554813425261383,-0.6018903077502569,0.1788313084982115,3.0569770806678505,-0.6057928757747202,-0.4827611027385904,0.8110796631723834,-0.0577082143061852,-0.5366180162754758,-0.3176749622631438,0.0153513127335757,-0.5928457211982188,-0.6047010495341217,0.7405176092183932,-0.044522155086704,0.2926444982623059,-0.5778378331475628,-0.4644178042172829,-0.8009508508254646,0.2187807982405008,-0.1150579120997638,1.5434875830390071,0.1130522482575909,-0.3833787854449588,0.4131020266984359,0.7056556639637392,-0.0996265326314206,0.290865413177979
011500_20220922,1.5420486748154485,4.67390813633171,0.1661334416796793,2.5278011060812102,1.4311344656093266,3.8538426839058233,1.3477406602473838,3.919551333599312,1.3188037534612338,2.5322871262882103,2.035953656424124,3.4357019632625203,2.682798175615146,-0.2062914577501849,-1.6816122948877024,-0.2279709226795226,1.4446983170618897,4.20348315116157,0.8792621912845164,-0.2029535103842931,-0.1696675988087981,-0.1905825722911934,-0.4071345445242625,2.03897721284193,-1.739649832154923,-1.8650811623895431,0.8201057666244369,-0.7345243045839621
011503_20220922,-1.2306913670792932,5.1490830341796965,-1.433797777455329,-0.3782892187176436,-1.4155109392959635,4.678808224217628,0.3198847099456008,-0.1555706747581499,-1.1787676219408847,2.800096196304689,-1.3080826644524568,0.7424472595725011,-0.9714621909924854,3.472704850684712,1.5910447484502646,-0.0973156080922327,-0.9163307872323136,4.030045634137069,0.7142276830701281,0.1586846718852642,0.6044847508948418,1.547894664106548,3.527751594755758,5.802005221090059,0.3115156046196324,-1.4588107030397732,5.023099311514865,2.6889150191425197
